Artist name,Song name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration(ms),Track URI,TopList,Year
Lil Nas X,Old Town Road - Remix,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,157067,spotify:track:2YpeDb67231RjR0MgVLzsG,1,2019
Ed Sheeran,I Don't Care (with Justin Bieber),0.798,0.676,6,-5.041,1,0.0442,0.0902,0,0.0894,0.843,101.956,219947,spotify:track:0hVXuCcriWRGvwMV1r5Yn9,1,2019
Post Malone,Wow.,0.829,0.539,11,-7.359,0,0.208,0.136,1.78e-06,0.103,0.388,99.96,149547,spotify:track:7xQAfvXzm3AkraOtGPWIZg,1,2019
Lewis Capaldi,Someone You Loved,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161,spotify:track:7qEHsqek33rTcFNT9PFqLf,1,2019
Daddy Yankee,Con Calma,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,193227,spotify:track:5w9c2J52mkdntKOmRLeM2m,1,2019
Lady Gaga,Shallow,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,215733,spotify:track:2VxeLyX666F8uXCJ0dZF8B,1,2019
Marshmello,Happier,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,214290,spotify:track:2dpaYNEQHiRxtZbfNsse99,1,2019
Halsey,Without Me,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661,spotify:track:5p7ujcrUXASCNwRaWNHR1C,1,2019
Pedro Capó,Calma - Remix,0.826,0.773,11,-4.218,0,0.0524,0.323,0,0.143,0.761,126.899,238200,spotify:track:5iwz1NiezX7WWjnCgY5TH4,1,2019
Ariana Grande,"thank u, next",0.717,0.653,1,-5.634,1,0.0658,0.229,0,0.101,0.412,106.966,207320,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,1,2019
Jonas Brothers,Sucker,0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,181027,spotify:track:22vgEDb5hykfaTwLuskFGD,1,2019
Ava Max,Sweet but Psycho,0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,187436,spotify:track:25sgk305KZfyuqVBQIahim,1,2019
Sam Smith,Dancing With A Stranger (with 1rmani),0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,171030,spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki,1,2019
Billie Eilish,bury a friend,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,193143,spotify:track:4SSnFejRGlZikf02HLewEF,1,2019
Lil Nas X,Old Town Road,0.907,0.53,1,-6.112,1,0.127,0.0578,2.23e-06,0.101,0.507,135.998,113000,spotify:track:0F7FA14euOIX8KcbEturGH,1,2019
Khalid,Talk (feat. Disclosure),0.901,0.4,0,-8.575,1,0.126,0.051,0,0.0599,0.346,135.984,197573,spotify:track:6TqXcAFInzjp0bODyvrWEq,1,2019
Billie Eilish,when the party's over,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077,spotify:track:43zdsphuZLzwA9k4DJhU0I,1,2019
Ed Sheeran,Beautiful People (feat. Khalid),0.64,0.647,5,-8.114,0,0.186,0.124,0,0.0801,0.546,92.979,197867,spotify:track:70eFcWOvlMObDhURTqT4Fv,1,2019
Tones And I,Dance Monkey,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,209755,spotify:track:1rgnBhdG2JDFTbYkYRZAku,1,2019
Ariana Grande,"break up with your girlfriend, i'm bored",0.726,0.554,5,-5.29,0,0.0917,0.0421,0,0.106,0.335,169.999,190440,spotify:track:4kV4N9D1iKVxx1KLvtTpjS,1,2019
J. Cole,MIDDLE CHILD,0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,213594,spotify:track:2JvzF1RMd7lE3KmFlsyZD8,1,2019
Post Malone,Goodb1 (Feat. Young Thug),0.58,0.653,5,-3.818,1,0.0745,0.447,0,0.111,0.175,150.231,174960,spotify:track:6vBdBCoOhKHiYDDOcorf1,1,2019
Panic! At The Disco,High Hopes,0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,190947,spotify:track:1rqqCSm0Qe4I9rUvWncaom,1,2019
DJ Snake,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500,spotify:track:0KoiMHhqKLoL4xM54rcWYY,1,2019
Lil Tecca,Ransom,0.745,0.642,7,-6.257,0,0.287,0.0204,0,0.0658,0.226,179.974,131240,spotify:track:1lOe9qE0vR9zwWQAOk6CoO,1,2019
Billie Eilish,lovely (with Khalid),0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,200186,spotify:track:0u2P5u6lvoDfwTYjAADbn4,1,2019
Travis Scott,SICKO MODE,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820,spotify:track:2xLMifQCjDGFmkHkpNLD9h,1,2019
Meek Mill,Going Bad (feat. Drake),0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,180522,spotify:track:2IRZnDFmlqMuOrYOLnZZyc,1,2019
Mabel,Don't Call Me Up,0.674,0.881,9,-2.853,1,0.147,0.296,3.01e-06,0.0793,0.234,98.994,178480,spotify:track:5WHTFyqSii0lmT9R21abT8,1,2019
Bad Bunny,Callaita,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,250534,spotify:track:2TH65lNHgvLxCKXM3apjxI,1,2019
Bad Bunny,MIA (feat. Drake),0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368,spotify:track:116H0KvKr2Zl4RPuVBruDO,1,2019
Lizzo,Truth Hurts,0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158.087,173325,spotify:track:5qmq61DAAOUaW8AUo8xKhh,1,2019
benny blanco,Eastside (with Halsey & Khalid),0.632,0.686,6,-7.665,0,0.243,0.549,0,0.2,0.329,89.949,170770,spotify:track:7FGq80cy8juXBCD2nrqdWU,1,2019
Queen,Bohemian Rhapsody - Remastered 2011,0.414,0.404,0,-9.928,0,0.0499,0.271,0,0.3,0.224,71.105,354320,spotify:track:4u7EnebtmKWzUH433cf5Qv,1,2019
Anuel AA,Secreto,0.807,0.803,11,-4.156,1,0.126,0.602,0.00853,0.136,0.706,91.987,258800,spotify:track:5W83ErFkO3aKAIS1WMi6u0,1,2019
Anuel AA,China,0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,301714,spotify:track:2ksOAxtIxY8yElEWw8RhgK,1,2019
Shawn Mendes,If I Can't Have You,0.691,0.823,2,-4.197,1,0.0623,0.487,0,0.134,0.87,123.935,191467,spotify:track:2bT1PH7Cw3J9p3t7nlXCdh,1,2019
Sech,Otro Trago,0.746,0.7,0,-4.669,1,0.341,0.136,0.000159,0.11,0.619,176.044,225933,spotify:track:1Ej96GIBCTvgH7tNX1r3qr,1,2019
Lauv,i'm so tired...,0.599,0.733,11,-7.058,1,0.203,0.176,0,0.242,0.534,102.211,162583,spotify:track:7COXchtUOMd6uIT6HvmRaI,1,2019
MEDUZA,Piece Of Your Heart,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,152913,spotify:track:1DFD5Fotzgn6yYXkYsKiGs,1,2019
Avicii,SOS (feat. Aloe Blacc),0.802,0.645,5,-6.181,0,0.0715,0.272,0,0.119,0.376,100.001,157202,spotify:track:2x0RZdkZcD8QRI53XT4GI5,1,2019
Post Malone,Better 1w,0.68,0.578,10,-5.804,1,0.04,0.331,0,0.135,0.341,145.038,231267,spotify:track:7dt6x5M1jzdTEt8oCbisTK,1,2019
Lunay,Soltera - Remix,0.795,0.783,5,-4.271,1,0.0432,0.361,0,0.437,0.799,92.01,266087,spotify:track:4t9a07PAghtQMRAIP9FQ7Z,1,2019
Paulo Londra,Adan y Eva,0.767,0.709,1,-4.47,1,0.336,0.323,0,0.0745,0.72,171.993,256972,spotify:track:132ALUzVLmqYB4UsBj5qD6,1,2019
Alec Benjamin,Let Me Down Slowly,0.652,0.557,1,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,169354,spotify:track:2qxmye6gAegTMjLKEBoR3d,1,2019
Post Malone,rockstar (feat. 21 Savage),0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,218147,spotify:track:0e7ipj03S05BNilyu5bRzt,1,2019
Bro,Sydpå,0.807,0.716,10,-5.27,1,0.154,0.184,0,0.097,0.667,99.938,186627,spotify:track:1lahfyqBPVvBIxf3XgmQmZ,1,2018
Gilli,Langsom,0.6,0.658,8,-7.474,0,0.0921,0.0915,0,0.156,0.518,195.67,209011,spotify:track:5fQiM6oa6M00dBNNcS6pSc,1,2018
KESI,Kom Over,0.489,0.69,8,-5.352,1,0.0856,0.0859,0,0.288,0.651,98.0,196165,spotify:track:6Lu7LCf7t7V6X7i4NQywcT,1,2018
Drake,God's Plan,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,198973,spotify:track:6DCZcSspjsKoFjzjrWoCdn,1,2018
FOOL,Strapped,0.734,0.677,9,-5.879,0,0.04,0.0445,0,0.398,0.592,140.072,184180,spotify:track:3o6VhtL6rH2rBzsN8XvfWg,1,2018
XXXTENTACION,SAD!,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,166606,spotify:track:3ee8Jmje8o58CHK66QrVC2,1,2018
Post Malone,Better 1w,0.68,0.578,10,-5.804,1,0.04,0.331,0,0.135,0.341,145.038,231267,spotify:track:7dt6x5M1jzdTEt8oCbisTK,1,2018
Sivas,Oui,0.837,0.802,4,-6.507,0,0.188,0.0244,0.00874,0.307,0.453,127.008,188273,spotify:track:7j8K8PE1tO2TvhY15E8ZcD,1,2018
Calvin Harris,One Kiss (with Dua Lipa),0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847,spotify:track:7ef4DlsgrMEH11cDZd32M6,1,2018
5 Seconds of Summer,Youngblood,0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,203418,spotify:track:2iUXsYOEPhVqEBwsqP70rE,1,2018
Post Malone,Psycho (feat. Ty Dolla $ign),0.75,0.56,8,-8.094,1,0.105,0.546,0,0.111,0.459,140.06,221440,spotify:track:3swc6WTsr7rl9DqQKQA55C,1,2018
Rudimental,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",0.653,0.809,0,-4.057,1,0.0474,0.194,0,0.165,0.55,92.213,210773,spotify:track:5CLGzJsGqhCEECcpnFQA8x,1,2018
Hennedub,Holder Fast,0.665,0.731,9,-4.007,0,0.0636,0.216,0,0.0813,0.512,101.961,192970,spotify:track:0yJshzyh9qjjtiyLBbPglQ,1,2018
Khalid,Love Lies (with 1rmani),0.708,0.648,6,-5.626,1,0.0449,0.0956,0,0.134,0.338,143.955,201707,spotify:track:45Egmo7icyopuzJN0oMEdk,1,2018
Loud Luxury,Body (feat. brando),0.752,0.764,1,-4.399,1,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,163216,spotify:track:7K7MUBCnzgBAvMVW2RTWNs,1,2018
Sivas,Sidste Timer,0.795,0.67,6,-7.194,0,0.0441,0.337,0.000187,0.116,0.782,104.889,176628,spotify:track:0gOloXVox0hwdtty5VsCfS,1,2018
Marshmello,FRIENDS,0.626,0.88,9,-2.384,0,0.0504,0.205,0,0.128,0.534,95.079,202621,spotify:track:08bNPGLD8AhKpnnERrAc6G,1,2018
Post Malone,rockstar (feat. 21 Savage),0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,218147,spotify:track:0e7ipj03S05BNilyu5bRzt,1,2018
Juice WRLD,Lucid Dreams,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,239836,spotify:track:0s3n1MeVWz3989MkNQiRf,1,2018
Lukas Graham,Love Someone,0.538,0.409,9,-6.581,0,0.0505,0.172,0,0.11,0.265,171.838,205440,spotify:track:3id2EVGKc3eFAMn9nFnB0r,1,2018
Eminem,River (feat. Ed Sheeran),0.748,0.749,8,-5.916,0,0.516,0.142,0,0.0713,0.659,90.09,221013,spotify:track:1cS0TgbR263ey9jn0MwD2s,1,2018
Dy1ro,In My Mind,0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,184560,spotify:track:0E9ZjEAyAwOXZ7wJC0PD33,1,2018
Drake,Nice For What,0.585,0.909,8,-6.474,1,0.0707,0.0891,9.7e-05,0.119,0.758,93.372,210747,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,1,2018
benny blanco,Eastside (with Halsey & Khalid),0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,173800,spotify:track:0d2iYfpKoM0QCKvcLCkBao,1,2018
Clean Bandit,Solo (feat. Demi Lovato),0.74,0.622,11,-4.608,0,0.0446,0.0357,4.85e-05,0.356,0.556,104.966,222707,spotify:track:3NuK5xMlSlB6K2Qp16zf3h,1,2018
Tyga,Taste (feat. Offset),0.884,0.559,0,-7.442,1,0.12,0.0236,0,0.101,0.342,97.994,232959,spotify:track:5IaHrVsrferBYDm0bDyABy,1,2018
Tiësto,Jackie Chan,0.747,0.834,3,-2.867,0,0.045,0.374,0,0.0586,0.687,128.005,215760,spotify:track:4kWO6O1BUXcZmaxitpVUwp,1,2018
ZK,Zum Zum,0.826,0.51,1,-8.626,0,0.0813,0.5,0.000531,0.138,0.62,115.084,179046,spotify:track:2lZEnKxY1v6wgR8ipQMwEI,1,2018
Drake,In My Feelings,0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03,217925,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,1,2018
Skinz,Malibu,0.689,0.581,0,-5.955,1,0.0789,0.0675,0,0.388,0.539,102.748,191144,spotify:track:0EmFeENh4mqxH9Lhro2Oib,1,2018
KESI,Ligesom Mig,0.82,0.739,7,-4.871,0,0.0424,0.0638,0,0.249,0.682,97.964,180817,spotify:track:14VTLEOzviOKVGAkA9uT2g,1,2018
Zedd,The Middle,0.753,0.657,7,-3.061,1,0.0449,0.171,0,0.112,0.437,107.01,184732,spotify:track:09IStsImFySgyp0pIQdqAc,1,2018
Bazzi,Mine,0.71,0.789,4,-3.874,1,0.0722,0.0161,2.77e-06,0.451,0.717,142.929,131064,spotify:track:7uzmGiiJyRfuViKKK3lVmR,1,2018
Lil Dicky,Freaky Friday (feat. Chris Brown),0.755,0.599,8,-5.042,1,0.224,0.147,0,0.109,0.755,133.123,216632,spotify:track:10Igtw8bSDyyFs7KIsKngZ,1,2018
KESI,Su Casa,0.724,0.751,8,-4.144,0,0.0703,0.284,1.03e-06,0.0964,0.916,170.004,197176,spotify:track:4yF9erb9bMUIRXr6QdPgP4,1,2018
Ed Sheeran,Perfect Duet (Ed Sheeran & Beyoncé),0.587,0.299,8,-7.365,1,0.0263,0.779,0,0.123,0.356,94.992,259550,spotify:track:1bhUWB0zJMIKr9yVPrkEuI,1,2018
NAVID,Rum Bum Bum,0.583,0.624,2,-5.478,0,0.0482,0.309,0.000335,0.0569,0.784,95.38,158596,spotify:track:0QzldbZnd9gLpor4S2EzJc,1,2018
Dua Lipa,IDGAF,0.836,0.544,7,-5.975,1,0.0943,0.0403,0,0.0824,0.51,97.028,217947,spotify:track:5BG3hnp2SmFmoBIs3YTqsm,1,2018
Camila Cabello,Havana (feat. Young Thug),0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,217307,spotify:track:1rfofaqEpACxVEHIZBJe6W,1,2018
XXXTENTACION,changes,0.669,0.308,11,-10.068,1,0.029,0.883,0,0.0984,0.52,64.934,121887,spotify:track:7AFASza1mXqntmGtbxXprO,1,2018
Dennis Lloyd,Nevermind,0.6,0.688,5,-8.339,0,0.201,0.159,1.29e-05,0.409,0.0793,99.977,156600,spotify:track:63SevszngYpZOwf63o61K4,1,2018
Kendrick Lamar,All The Stars (with SZA),0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,232187,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,1,2018
Dean Lewis,Be Alright,0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,196373,spotify:track:3EPXxR3ImUwfayaurPi3cm,1,2018
XXXTENTACION,Jocelyn Flores,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,119133,spotify:track:7m9OqQk4RVRkw9JJdeAw96,1,2018
Maroon 5,Girls Like You (feat. Cardi B),0.851,0.541,0,-6.825,1,0.0505,0.568,0,0.13,0.448,124.959,235545,spotify:track:6FRLCMO5TUHTexlWo8ym1W,1,2018
Ariana Grande,1 tears left to cry,0.699,0.713,9,-5.507,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993,205920,spotify:track:2qT1uLXPVPzGgFOx4jtEuo,1,2018
